Date,Revenue,Expenses,Cash Flow,Overdue Invoices
2024-10-01,45000,15000,30000,2500
2024-10-02,52000,18000,34000,2500
2024-10-03,48000,16000,32000,2000
2024-10-04,55000,19000,36000,1500
2024-10-05,51000,17000,34000,1500
2024-10-08,49000,16500,32500,1000
2024-10-09,53000,18500,34500,1000
2024-10-10,57000,20000,37000,500
2024-10-11,54000,19000,35000,500
2024-10-12,56000,19500,36500,0
2024-10-15,58000,21000,37000,0
2024-10-16,60000,22000,38000,0
2024-10-17,59000,21500,37500,1000
2024-10-18,61000,22500,38500,1500
2024-10-19,63000,23000,40000,2000
2024-10-22,62000,22000,40000,2000
2024-10-23,64000,23500,40500,1500
2024-10-24,66000,24000,42000,1000
2024-10-25,65000,23500,41500,500
2024-10-26,67000,24500,42500,0
