Date,Leads Generated,Ad Spend,Click Through Rate,Conversions,Website Visits,Email Opens,Social Media Engagement
2024-09-01,75,1100,2.8,10,4200,750,280
2024-09-02,78,1150,2.9,11,4300,780,290
2024-09-03,76,1120,2.8,10,4250,760,285
2024-09-04,80,1200,3.0,12,4400,800,300
2024-09-05,79,1180,2.9,11,4350,790,295
2024-09-08,82,1220,3.1,13,4450,820,305
2024-09-09,84,1250,3.2,13,4500,840,310
2024-09-10,86,1280,3.3,14,4600,860,320
2024-09-11,85,1260,3.2,13,4550,850,315
2024-09-12,87,1290,3.3,14,4650,870,325
2024-09-15,89,1320,3.4,15,4700,890,330
2024-09-16,91,1350,3.5,15,4800,910,340
2024-09-17,90,1330,3.4,15,4750,900,335
2024-09-18,93,1380,3.6,16,4900,930,350
2024-09-19,95,1400,3.7,17,5000,950,360
2024-09-22,94,1390,3.6,16,4950,940,355
2024-09-23,97,1420,3.8,17,5050,970,365
2024-09-24,99,1450,3.9,18,5100,990,375
2024-09-25,98,1430,3.8,18,5075,980,370
2024-09-26,100,1480,4.0,19,5150,1000,380
