Date,Leads Generated,Ad Spend,Click Through Rate,Conversions,Website Visits,Email Opens,Social Media Engagement
2024-10-01,85,1200,3.2,12,4500,850,320
2024-10-02,92,1300,3.5,15,4800,920,340
2024-10-03,88,1250,3.3,13,4600,880,325
2024-10-04,95,1400,3.6,16,5000,950,360
2024-10-05,90,1350,3.4,14,4750,900,335
2024-10-08,93,1380,3.5,15,4850,930,345
2024-10-09,97,1450,3.7,17,5100,970,370
2024-10-10,100,1500,3.8,18,5200,1000,380
2024-10-11,96,1420,3.6,16,5050,960,365
2024-10-12,98,1480,3.7,17,5150,980,375
2024-10-15,102,1550,3.9,19,5300,1020,390
2024-10-16,105,1600,4.0,20,5400,1050,400
2024-10-17,103,1570,3.9,19,5350,1030,395
2024-10-18,107,1650,4.1,21,5500,1070,410
2024-10-19,110,1700,4.2,22,5600,1100,420
2024-10-22,108,1680,4.1,21,5550,1080,415
2024-10-23,112,1750,4.3,23,5700,1120,430
2024-10-24,115,1800,4.4,24,5800,1150,440
2024-10-25,113,1770,4.3,23,5750,1130,435
2024-10-26,118,1850,4.5,25,5900,1180,450
